student_id,fecha,tipo,asistio_clase,entrego_tareas,act_voluntariado,aprobo_parcial,comentario
981,2026-06-23,Presencial,True,True,False,True,Seg #0
184,2026-04-15,Virtual,True,True,True,True,Seg #1
951,2026-04-05,Presencial,True,True,False,True,Seg #2
368,2026-05-19,Presencial,False,False,True,True,Seg #3
983,2026-02-22,Llamada,False,True,True,False,Seg #4
198,2026-03-14,Virtual,True,True,True,False,Seg #5
371,2026-01-03,Presencial,False,True,True,True,Seg #6
373,2026-01-30,Llamada,True,True,True,False,Seg #7
973,2026-01-30,Llamada,True,False,False,True,Seg #8
497,2026-06-14,Virtual,False,True,False,False,Seg #9
599,2026-02-18,Llamada,False,True,True,True,Seg #10
201,2026-02-03,Virtual,True,False,False,True,Seg #11
849,2026-06-10,Llamada,True,True,True,True,Seg #12
509,2026-05-04,Virtual,False,True,False,True,Seg #13
322,2026-01-23,Llamada,False,True,False,True,Seg #14
275,2026-03-13,Presencial,False,True,True,False,Seg #15
211,2026-02-12,Virtual,True,True,True,False,Seg #16
504,2026-02-08,Presencial,False,True,True,True,Seg #17
903,2026-02-16,Presencial,False,True,False,True,Seg #18
118,2026-06-03,Llamada,True,False,True,True,Seg #19
703,2026-05-11,Llamada,False,True,False,False,Seg #20
554,2026-06-26,Llamada,True,True,True,False,Seg #21
42,2026-06-26,Presencial,True,True,False,True,Seg #22
315,2026-03-29,Llamada,True,False,False,False,Seg #23
788,2026-03-27,Llamada,True,True,True,False,Seg #24
329,2026-06-23,Presencial,True,False,False,True,Seg #25
17,2026-04-28,Presencial,False,True,False,True,Seg #26
283,2026-02-13,Presencial,True,False,False,False,Seg #27
943,2026-05-24,Llamada,True,True,True,False,Seg #28
258,2026-03-12,Llamada,False,True,True,True,Seg #29
575,2026-03-11,Virtual,True,True,True,False,Seg #30
574,2026-04-11,Llamada,True,False,True,True,Seg #31
612,2026-02-15,Virtual,True,True,True,True,Seg #32
19,2026-03-19,Virtual,True,True,True,True,Seg #33
529,2026-01-29,Virtual,True,True,True,False,Seg #34
837,2026-04-19,Llamada,False,False,True,True,Seg #35
423,2026-01-04,Virtual,True,False,True,True,Seg #36
466,2026-05-13,Virtual,False,True,True,True,Seg #37
373,2026-05-26,Presencial,True,True,False,True,Seg #38
758,2026-02-25,Llamada,True,True,False,False,Seg #39
763,2026-04-24,Llamada,True,False,True,True,Seg #40
967,2026-04-14,Llamada,True,False,False,False,Seg #41
81,2026-03-18,Presencial,True,True,True,False,Seg #42
551,2026-01-13,Presencial,True,True,False,True,Seg #43
548,2026-03-01,Llamada,True,False,True,False,Seg #44
424,2026-03-04,Presencial,True,False,True,True,Seg #45
429,2026-03-09,Llamada,True,True,True,True,Seg #46
388,2026-06-21,Presencial,True,True,True,True,Seg #47
998,2026-02-02,Virtual,True,True,True,False,Seg #48
921,2026-01-18,Llamada,True,True,True,True,Seg #49
709,2026-02-11,Llamada,True,True,True,True,Seg #50
670,2026-04-01,Llamada,True,True,False,False,Seg #51
204,2026-06-29,Presencial,True,True,True,False,Seg #52
196,2026-03-05,Presencial,True,True,True,True,Seg #53
728,2026-06-18,Virtual,False,True,True,True,Seg #54
285,2026-01-22,Llamada,True,True,False,True,Seg #55
969,2026-03-28,Virtual,True,False,True,True,Seg #56
196,2026-02-07,Llamada,False,True,True,True,Seg #57
307,2026-05-30,Presencial,True,True,True,True,Seg #58
664,2026-05-30,Llamada,True,True,True,True,Seg #59
14,2026-02-27,Virtual,True,False,True,False,Seg #60
837,2026-06-20,Presencial,True,False,True,True,Seg #61
146,2026-06-21,Presencial,False,True,True,True,Seg #62
938,2026-06-16,Virtual,False,False,True,True,Seg #63
57,2026-06-14,Llamada,True,True,True,True,Seg #64
723,2026-01-14,Llamada,False,False,True,True,Seg #65
780,2026-02-05,Virtual,True,True,True,False,Seg #66
210,2026-01-29,Llamada,True,True,False,True,Seg #67
529,2026-05-03,Llamada,False,True,True,True,Seg #68
798,2026-04-14,Presencial,True,True,False,True,Seg #69
344,2026-02-27,Presencial,True,True,True,True,Seg #70
715,2026-03-09,Llamada,True,False,True,True,Seg #71
611,2026-06-09,Llamada,True,False,False,True,Seg #72
279,2026-01-24,Llamada,True,True,True,True,Seg #73
209,2026-01-10,Presencial,True,True,True,False,Seg #74
641,2026-05-30,Virtual,True,True,True,False,Seg #75
335,2026-01-03,Virtual,True,True,True,True,Seg #76
288,2026-01-08,Presencial,False,True,False,False,Seg #77
252,2026-03-10,Llamada,False,True,True,False,Seg #78
265,2026-03-03,Virtual,True,False,True,False,Seg #79
271,2026-02-02,Presencial,False,True,False,True,Seg #80
924,2026-03-01,Llamada,True,True,False,False,Seg #81
920,2026-05-30,Virtual,True,True,False,False,Seg #82
700,2026-03-04,Virtual,True,True,True,True,Seg #83
419,2026-05-23,Presencial,True,True,False,True,Seg #84
726,2026-06-19,Presencial,True,False,False,False,Seg #85
795,2026-01-07,Llamada,True,True,False,True,Seg #86
211,2026-06-13,Llamada,True,True,False,True,Seg #87
365,2026-02-02,Presencial,True,False,False,False,Seg #88
76,2026-02-10,Llamada,False,True,True,True,Seg #89
660,2026-02-02,Presencial,True,False,True,True,Seg #90
321,2026-02-25,Virtual,False,True,False,True,Seg #91
725,2026-02-15,Virtual,False,True,True,True,Seg #92
433,2026-05-16,Presencial,True,False,True,False,Seg #93
109,2026-03-19,Virtual,True,True,True,True,Seg #94
641,2026-02-16,Virtual,True,True,False,False,Seg #95
522,2026-01-31,Presencial,False,True,True,True,Seg #96
47,2026-04-06,Llamada,True,False,True,True,Seg #97
379,2026-02-01,Llamada,True,True,True,True,Seg #98
827,2026-04-03,Llamada,True,True,True,True,Seg #99
96,2026-06-09,Llamada,True,False,True,False,Seg #100
958,2026-03-31,Llamada,False,True,True,True,Seg #101
103,2026-06-02,Llamada,True,False,False,False,Seg #102
892,2026-06-18,Presencial,False,False,False,True,Seg #103
854,2026-06-29,Virtual,True,True,False,True,Seg #104
146,2026-06-02,Llamada,True,False,True,True,Seg #105
880,2026-06-04,Presencial,False,True,True,False,Seg #106
942,2026-05-12,Presencial,True,True,True,True,Seg #107
928,2026-03-28,Llamada,False,True,True,False,Seg #108
27,2026-01-31,Virtual,True,True,True,False,Seg #109
732,2026-04-04,Presencial,True,False,False,True,Seg #110
530,2026-05-18,Llamada,True,True,True,True,Seg #111
679,2026-06-09,Virtual,False,True,True,True,Seg #112
945,2026-01-11,Llamada,False,False,False,False,Seg #113
989,2026-01-17,Presencial,True,True,True,True,Seg #114
82,2026-03-26,Llamada,True,True,False,True,Seg #115
428,2026-06-28,Virtual,True,True,False,True,Seg #116
584,2026-03-05,Presencial,True,False,True,False,Seg #117
822,2026-06-12,Presencial,True,False,True,False,Seg #118
479,2026-06-08,Llamada,True,False,False,False,Seg #119
766,2026-01-25,Presencial,False,True,True,False,Seg #120
162,2026-06-01,Virtual,True,False,True,True,Seg #121
839,2026-05-23,Presencial,False,True,False,True,Seg #122
932,2026-03-15,Presencial,True,False,True,False,Seg #123
